Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
03/05/2024,228.22,228.2244,0.73(0.32 %),55541890,"1,112,863,059,800",12536000,"289,271,100,000",227.4918,229.1685,227.2235
02/05/2024,227.49,227.4918,0.67(0.30 %),47214937,"973,989,326,400",1786500,"53,936,360,000",226.819,227.511,225.6707
26/04/2024,226.82,226.819,-0.75(-0.33 %),60403269,"1,211,287,806,000",9251840,"182,228,776,000",227.572,228.1059,225.8796
25/04/2024,227.57,227.572,-0.3(-0.13 %),55268515,"1,064,987,014,000",6686700,"158,702,630,000",227.8682,228.0978,225.8358
24/04/2024,227.87,227.8682,5.24(2.35 %),80781811,"1,527,085,438,200",3873100,"81,431,720,000",222.6316,228.0423,219.4544
23/04/2024,222.63,222.6316,-2.67(-1.19 %),68327490,"1,271,607,495,000",5787040,"123,176,722,000",225.3062,225.6376,221.1237
22/04/2024,225.31,225.3062,4.51(2.04 %),75370567,"1,398,721,762,000",3606598,"116,890,382,400",220.7958,225.8425,221.05
19/04/2024,220.8,220.7958,-5.4(-2.39 %),127734425,"2,550,275,059,500",1723006,"47,967,816,000",226.1966,226.1966,218.8777
17/04/2024,226.2,226.1966,-2.63(-1.15 %),79970971,"1,565,170,493,400",6688142,"136,208,517,400",228.8309,230.0979,225.8039
16/04/2024,228.83,228.8309,-0.88(-0.38 %),135426678,"2,587,592,231,700",3076128,"114,486,618,000",229.7144,230.1781,224.4178
15/04/2024,229.71,229.7144,-11.62(-4.81 %),163999049,"3,494,724,833,100",1799571,"45,153,472,200",241.337,242.2377,229.7144
12/04/2024,241.34,241.337,2.27(0.95 %),75846620,"1,577,829,338,600",3451000,"93,296,530,000",239.0652,241.337,238.5144
11/04/2024,239.07,239.0652,0.28(0.12 %),75450066,"1,662,265,303,100",2799500,"91,414,100,000",238.7883,239.3599,236.8974
10/04/2024,238.79,238.7883,-1.58(-0.66 %),56960295,"1,214,727,114,300",9040303,"200,123,297,700",240.3644,240.941,238.4951
09/04/2024,240.36,240.3644,2.28(0.96 %),79628669,"1,486,983,542,800",6141725,"155,720,952,500",238.0814,240.3644,237.7359
08/04/2024,238.08,238.0814,-1.6(-0.67 %),79802058,"1,681,685,644,100",30194700,"588,083,970,000",239.6846,240.2855,238.081
05/04/2024,239.68,239.6846,-2.76(-1.14 %),127477177,"2,668,966,053,100",4515100,"99,526,900,000",242.4438,242.7208,239.6795
04/04/2024,242.44,242.4438,-1.51(-0.62 %),99612330,"2,216,296,005,200",4618296,"99,375,098,000",243.9586,244.1619,241.5146
