Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
03/05/2024,89.78,89.7848,0.09(0.10 %),33255809,"591,538,921,300",1307538,"25,272,297,200",89.6963,90.4915,89.3858
02/05/2024,89.7,89.6963,0.94(1.06 %),22902985,"548,117,600,700",3819520,"52,204,346,000",88.7589,89.6963,88.5616
26/04/2024,88.76,88.7589,0.43(0.49 %),33138435,"420,656,399,400",2725000,"26,118,599,400",88.331,88.8081,88.261
25/04/2024,88.33,88.331,-0.04(-0.05 %),21720992,"449,076,204,900",1601073,"38,565,347,000",88.3696,88.5599,87.9013
24/04/2024,88.37,88.3696,0.86(0.98 %),25322507,"406,120,014,300",698630,"8,012,984,000",87.5078,88.5293,87.4749
23/04/2024,87.51,87.5078,-0.51(-0.58 %),27518105,"420,677,493,900",2965790,"15,485,676,000",88.0221,88.2914,87.2718
22/04/2024,88.02,88.0221,0.87(1.00 %),35491242,"432,001,913,400",663816,"6,385,210,800",87.1566,88.0576,87.1582
19/04/2024,87.16,87.1566,-0.99(-1.12 %),66411195,"673,960,717,100",4394000,"65,774,490,000",88.1493,88.1674,86.6165
17/04/2024,88.15,88.1493,-0.48(-0.54 %),44939576,"553,427,266,200",4329461,"69,922,107,700",88.6324,88.9253,88.0187
16/04/2024,88.63,88.6324,-0.35(-0.39 %),59105255,"718,293,727,000",838355,"6,108,635,500",88.9815,89.0837,87.4851
15/04/2024,88.98,88.9815,-2.23(-2.44 %),71889980,"1,074,623,813,600",1661045,"36,691,247,500",91.2115,91.2268,88.7361
12/04/2024,91.21,91.2115,0.29(0.32 %),64830003,"630,774,378,500",2270900,"23,161,920,000",90.9167,91.3656,90.8049
11/04/2024,90.92,90.9167,0.27(0.30 %),29097065,"451,626,183,700",676203,"17,453,884,400",90.6496,90.9428,90.3244
10/04/2024,90.65,90.6496,0.08(0.09 %),39065742,"594,914,724,100",3696968,"84,747,564,800",90.5742,91.0871,90.4959
