Symbol,BasicPrice,OpenPrice,HighPrice,LowPrice,ClosePrice,AveragePrice,Volume,AdjustPrice,Ceiling,Floor,AverageAdjustPrice,TotalValue,AgreedVolume,AgreedValue,ChangePrice
,,,,,,,,,,,,,,,
BTD,18,19.8,20.7,19.8,20.7,20.7,12275,20.7,20.7,15.3,20.7,253145000,0,0,2.70 (15.00 %)
,,,,,,,,,,,,,,,
DBM,25.5,29.3,29.3,29.3,29.3,29.3,307,29.3,29.3,21.7,29.3,8995100,0,0,3.80 (14.90 %)
,,,,,,,,,,,,,,,
CFV,18.2,20.9,20.9,20.9,20.9,20.9,707,20.9,20.9,15.5,20.9,14776300,0,0,2.70 (14.84 %)
,,,,,,,,,,,,,,,
IST,31.2,35.8,35.8,35.8,35.8,35.8,100,35.8,35.8,26.6,35.8,3580000,0,0,4.60 (14.74 %)
,,,,,,,,,,,,,,,
HCB,19,21.8,21.8,21.8,21.8,21.8,501,21.8,21.8,16.2,21.8,10921800,0,0,2.80 (14.74 %)
,,,,,,,,,,,,,,,
MTG,10.9,11,12.5,11,12.5,12.5,2502,12.5,12.5,9.3,12.5,29974900,0,0,1.60 (14.68 %)
,,,,,,,,,,,,,,,
VIH,10.9,12.5,12.5,12.5,12.5,12.5,100,12.5,12.5,9.3,12.5,1250000,0,0,1.60 (14.68 %)
,,,,,,,,,,,,,,,
CMW,9.6,10.5,11,10.5,11,11,200,11,11,8.2,11,2150000,0,0,1.40 (14.58 %)
,,,,,,,,,,,,,,,
HD8,9,9.1,10.3,9.1,10.3,10.3,111500,10.3,10.3,7.7,10.3,1148110000,0,0,1.30 (14.44 %)
,,,,,,,,,,,,,,,
C21,13.2,15,15.1,14.2,15.1,15.1,13200,15.1,15.1,11.3,15.1,199140000,0,0,1.90 (14.39 %)
,,,,,,,,,,,,,,,
FHS,27.1,31,31,31,31,28.647,2901,28.647,31.1,23.1,28.647,89931000,0,0,1.55 (5.71 %)
,,,,,,,,,,,,,,,
TW3,12.6,14.4,14.4,14.4,14.4,14.4,100,14.4,14.4,10.8,14.4,1440000,0,0,1.80 (14.29 %)
,,,,,,,,,,,,,,,
NEM,21,22,23.9,22,23.9,23.9,1800,23.9,24.1,17.9,23.9,40890000,0,0,2.90 (13.81 %)
,,,,,,,,,,,,,,,
XHC,21,23.9,23.9,23.9,23.9,23.9,100,23.9,24.1,17.9,23.9,2390000,0,0,2.90 (13.81 %)
,,,,,,,,,,,,,,,
VCX,3.2,3.6,3.6,3.6,3.6,3.6,500,3.6,3.6,2.8,3.6,1800000,0,0,0.40 (12.50 %)
,,,,,,,,,,,,,,,
QHW,32.9,32.9,36.9,32.9,36.9,36.9,300,36.9,37.8,28,36.9,10670000,0,0,4.00 (12.16 %)
,,,,,,,,,,,,,,,
RTB,22.3,22.5,25,22.5,25,25,4500,25,25.6,19,25,106180000,0,0,2.70 (12.11 %)
,,,,,,,,,,,,,,,
DSG,5.4,6.2,6.2,6,6,6,202,6,6.2,4.6,6,1232400,0,0,0.60 (11.11 %)
,,,,,,,,,,,,,,,
BBT,7.8,8.4,8.6,8.4,8.6,8.6,15100,8.6,8.9,6.7,8.6,128320000,0,0,0.80 (10.26 %)
,,,,,,,,,,,,,,,
CCT,7.5,8.6,8.6,7.2,8.2,8.2,1300,8.2,8.6,6.4,8.2,9740000,0,0,0.70 (9.33 %)
,,,,,,,,,,,,,,,
FOX,57.1,57.4,62.9,57.4,61.9,61.9,516457,61.9,65.6,48.6,61.9,31618633000,0,0,4.80 (8.41 %)
,,,,,,,,,,,,,,,
LKW,30.3,32.9,32.9,32.5,32.5,32.5,1200,32.5,34.8,25.8,32.5,39200000,0,0,2.20 (7.26 %)
,,,,,,,,,,,,,,,
VHD,11.1,11.9,11.9,11.9,11.9,11.9,100,11.9,12.7,9.5,11.9,1190000,0,0,0.80 (7.21 %)
,,,,,,,,,,,,,,,
PCM,11.7,12,12.5,12,12.5,12.5,400,12.5,13.4,10,12.5,4920000,0,0,0.80 (6.84 %)
,,,,,,,,,,,,,,,
MVC,10.3,10.4,11,10.3,11,11,4008,11,11.8,8.8,11,42002400,0,0,0.70 (6.80 %)
,,,,,,,,,,,,,,,
AIC,12.1,12.9,12.9,12.9,12.9,12.9,103,12.9,13.9,10.3,12.9,1328700,0,0,0.80 (6.61 %)
,,,,,,,,,,,,,,,
AAH,3.2,3.2,3.5,3.1,3.4,3.4,2036983,3.4,3.6,2.8,3.4,6729181100,0,0,0.20 (6.25 %)
,,,,,,,,,,,,,,,
HRT,6.6,6.8,7,6.7,7,7,5404,7,7.5,5.7,7,36678000,0,0,0.40 (6.06 %)
,,,,,,,,,,,,,,,
HU3,3.3,3.5,3.5,3.5,3.5,3.5,2722,3.5,3.7,2.9,3.5,9527000,0,0,0.20 (6.06 %)
,,,,,,,,,,,,,,,
DC1,6.6,7,7,7,7,7,100,7,7.5,5.7,7,700000,0,0,0.40 (6.06 %)
,,,,,,,,,,,,,,,
DGT,5.4,5,5.7,5,5.7,5.7,194606,5.7,6.2,4.6,5.7,1087603000,0,0,0.30 (5.56 %)
,,,,,,,,,,,,,,,
HHG,1.9,1.9,2,1.9,2,2,141436,2,2.1,1.7,2,268749100,0,0,0.10 (5.26 %)
,,,,,,,,,,,,,,,
SRT,5.7,6.3,6.3,4.9,6,6,7700,6,6.5,4.9,6,43410000,0,0,0.30 (5.26 %)
,,,,,,,,,,,,,,,
VGI,60.2,63.9,65,61.4,63.3,63.3,2154049,63.3,69.2,51.2,63.3,1.36449E+11,0,0,3.10 (5.15 %)
,,,,,,,,,,,,,,,
LIC,19.7,20.9,20.9,20.7,20.7,20.7,600,20.7,22.6,16.8,20.7,12440000,0,0,1.00 (5.08 %)
,,,,,,,,,,,,,,,
SRB,2,1.9,2.1,1.9,2.1,2.1,22100,2.1,2.3,1.7,2.1,43230000,0,0,0.10 (5.00 %)
,,,,,,,,,,,,,,,
ICF,6,6,6.3,6,6.3,6.3,13432,6.3,6.9,5.1,6.3,81674900,0,0,0.30 (5.00 %)
,,,,,,,,,,,,,,,
DHD,29.1,30.1,30.5,30.1,30.5,30.5,2000,30.5,33.4,24.8,30.5,60650000,0,0,1.40 (4.81 %)
,,,,,,,,,,,,,,,
MTA,4.2,3.9,4.4,3.9,4.4,4.4,450,4.4,4.8,3.6,4.4,1935000,0,0,0.20 (4.76 %)
,,,,,,,,,,,,,,,
CNC,28.1,28.4,29.4,28.4,29.4,29.4,8300,29.4,32.3,23.9,29.4,241370000,0,0,1.30 (4.63 %)
,,,,,,,,,,,,,,,
DP1,35.2,36.3,38.5,35.2,36.8,36.8,11800,36.8,40.4,30,36.8,420410000,0,0,1.60 (4.55 %)
,,,,,,,,,,,,,,,
PCF,4.5,4.7,4.7,4.7,4.7,4.7,816,4.7,5.1,3.9,4.7,3835200,0,0,0.20 (4.44 %)
,,,,,,,,,,,,,,,
MVN,15.8,16,16.5,16,16.5,16.5,400,16.5,18.1,13.5,16.5,6550000,0,0,0.70 (4.43 %)
,,,,,,,,,,,,,,,
BTB,4.8,5,5,5,5,5,548,5,5.5,4.1,5,2730400,0,0,0.20 (4.17 %)
,,,,,,,,,,,,,,,
