name;code;stock_space;join_date;leave_date
Quỹ Đầu tư Năng động Eastspring Investments Việt Nam;ENF;UPCOM;2001-01-01;2001-01-01
Quỹ Đầu tư Tăng trưởng Thiên Việt 2;FUCTVGF2;HOSE;2018-09-26;2022-02-25
Quỹ ETF KIM GROWTH VN DIAMOND;FUEKIVND;HOSE;2024-04-24;
Quỹ đầu tư tăng trưởng Thiên Việt 4;FUCTVGF4;HOSE;2022-09-26;
Quỹ đầu tư tăng trưởng TVAM;FUCTVGF1;HOSE;2016-12-22;2021-05-04
Quỹ đầu tư tăng trưởng ACB ;ASIAGF;HOSE;2012-06-26;2014-12-30
Công ty Cổ phần Quản lý Quỹ VinaCapital;VEOF;HOSE;2020-07-21;
Công ty Cổ phần Quản lý Quỹ VinaCapital;VESAF;HOSE;2020-07-21;
Quỹ đầu tư tăng trưởng Thiên Việt 5;FUCTVGF5;HOSE;2023-12-29;
Quỹ đầu tư cân bằng Prudential;PRUBF1;HOSE;2006-12-04;2013-09-03
Quỹ Đầu tư năng động Việt Nam ;VNDAF_CGD;HOSE;2010-08-09;2013-03-11
Quỹ đầu tư tăng trưởng Thiên Việt 3;FUCTVGF3;HOSE;2021-10-27;
Quỹ Đầu tư năng động Việt Nam ;VFMVFA;HOSE;2010-08-09;2013-03-11
Quỹ đầu tư Doanh nghiệp hàng đầu Việt Nam;VFMVF4;HOSE;2008-06-12;2013-11-26
Quỹ đầu tư tăng trưởng Manulife;MAFPF1;HOSE;2007-12-28;2014-08-20
Quỹ đầu tư bất động sản Techcom Việt Nam;FUCVREIT;HOSE;2017-02-27;
Quỹ Đầu Tư Chứng Khoán Việt Nam;VFMVF1;HOSE;2004-11-08;2013-09-24
Công ty Cổ phần xây dựng điện VNECO 4 ;VE4;HNX;2012-10-16;
Công ty Cổ phần Than Cọc Sáu - VINACOMIN ;TC6;HNX;2008-06-26;
Công ty Cổ phần Thống Nhất;BAX;HNX;2017-03-24;
Công ty Cổ phần Tập đoàn Thành Thái;KKC;HNX;2008-08-21;
Công ty Cổ phần Đầu tư và Phát triển điện miền Trung;SEB;HNX;2009-01-14;
Công ty Cổ phần Viglacera Tiên Sơn ;VIT;HNX;2009-11-03;
Công ty Cổ phần Sách và Thiết bị Bình Định ;BDB;HNX;2010-01-29;
Công ty Cổ phần Nhựa - Bao bì Vinh ;VBC;HNX;2010-03-17;
Công ty Cổ phần Thương mại và Dịch vụ Tiến Thành;TTH;HNX;2016-10-26;
Công ty Cổ phần Xây dựng sông Hồng ;ICG;HNX;2009-04-21;
Công ty cổ phần Tập đoàn Vexilla Việt Nam;SVN;HNX;2011-07-26;
Công ty Cổ phần Lilama 45.3;L43;HNX;2008-06-11;
CÔNG TY CỔ PHẦN THAIHOLDINGS;THD;HNX;2020-06-19;
Công ty Cổ phần Giao nhận Vận tải Ngoại thương;VNT;HNX;2009-08-14;
Công ty Cổ phần Thanh Hoa - Sông Đà;THS;HNX;2013-11-12;
Công ty Cổ phần Tập Đoàn C.E.O;CEO;HNX;2014-09-29;
Công ty Cổ phần Tập đoàn Dược phẩm Atesco;ATS;HNX;2016-03-29;
Công ty cổ phần chứng khoán Nhất Việt;VFS;HNX;2023-07-24;
Công ty cổ phần Tin học Viễn thông Petrolimex;PIA;HNX;2019-09-06;
Công ty Cổ phần khoáng sản và luyện kim Bắc Á ;BAM;HNX;2014-11-04;2016-11-09
Công ty cổ phần Phát triển năng lượng Sơn Hà;SHE;HNX;2019-01-25;
Công ty Cổ phần nhựa Đà Nẵng;DPC;HNX;2009-06-10;2024-05-13
Công ty cổ phần Thủy điện Nước trong;NTH;HNX;2019-06-19;
Công ty Cổ phần PVI;PVI;HNX;2007-08-10;
Tổng Công ty Cổ phần bảo hiểm bưu điện;PTI;HNX;2011-03-02;
Công ty Cổ phần Cơ khí Xăng dầu;PMS;HNX;2009-06-08;
Công ty Cổ phần Lương thực Thực phẩm SAFOCO;SAF;HNX;2009-06-08;
Công ty Cổ phần Sara Việt Nam ;SRA;HNX;2008-01-18;
Công ty Cổ phần Dược phẩm Hà Tây ;DHT;HNX;2008-12-03;
Công ty Cổ phần Hóa chất Việt Trì;HVT;HNX;2009-05-08;
Công ty Cổ phần Đầu tư, Xây dựng và Khai thác mỏ Vinavico;CTM;HNX;2009-08-07;2015-06-11
Công ty Cổ phần Portserco;PRC;HNX;2010-11-29;
Công ty Cổ phần Kinh doanh Than miền Bắc - Vinacomin;TMB;HNX;2017-01-16;
Công ty cổ phần Trang;TFC;HNX;2015-12-03;
Công ty Cổ phần Chứng khoán Golden Bridge Việt Nam ;GBS;HNX;2010-10-11;2013-10-22
Công ty Cổ phần Đầu tư Phát triển Gas Đô thị;PCG;HNX;2010-12-29;
Công ty Cổ phần Dịch vụ kỹ thuật Điện lực Dầu khí Việt Nam ;PPS;HNX;2011-01-07;
Công ty Cổ phần Licogi 14;L14;HNX;2011-09-13;
Công ty Cổ phần Khoáng sản Á Châu;AMC;HNX;2012-02-15;
Công ty Cổ phần Cơ khí Vận tải Thương mại Đại Hưng ;DHL;HNX;2012-06-06;2013-09-20
Công ty cổ phần CNC Capital Việt Nam;KSQ;HNX;2013-07-26;
Công ty Cổ phần chế tạo máy - VINACOMIN;CTT;HNX;2015-07-17;
Công ty Cổ phần sách và thiết bị giáo dục miền Nam ;SMN;HNX;2015-07-14;
Công ty Cổ phần Xăng dầu Dầu khí Phú Yên;PPY;HNX;2016-03-02;
Công ty cổ phần Pin Hà Nội;PHN;HNX;2019-03-13;
Công ty Cổ phần Thực phẩm Bích Chi;BCF;HNX;2020-03-16;
Công ty Cổ phần Tập đoàn MBG;MBG;HNX;2015-11-26;
Công ty Cổ phần Đầu tư Phát triển Xây dựng Hội An;DIH;HNX;2011-04-27;
Công ty cổ phần Nông nghiệp Công nghệ cao Trung An;TAR;HNX;2019-02-20;
Công ty Cổ phần Điện Bắc Nà;EBA;HNX;2019-12-31;2021-08-31
Công ty Cổ phần Đầu tư Sản xuất Bảo Ngọc;BNA;HNX;2020-10-12;
Công ty Cổ phần Tập đoàn đầu tư I.P.A;IPA;HNX;2021-11-01;
Công ty Cổ phần Đồ hộp Hạ Long;CAN;HNX;2009-06-12;
Công ty Cổ phần Khách sạn Sài Gòn;SGH;HNX;2009-07-30;
